file_name,left,right,top,bottom,min_value,max_value,pixel_horiz,pixel_vert,number_of_nan
3336-342_reproject,-5196658.324445742,-5196161.890893641,-2721697.837442241,-2722348.2421070803,-3.0048633,17.10833,907,1188,0
3336-312_reproject,-5196658.313346234,-5196059.771036293,-2720431.1214222177,-2721082.782308612,-1.24902,16.613174,1094,1191,0
3336-211_reproject,-5193759.247872151,-5193160.795511984,-2717898.5436077593,-2718549.011497859,-2.0076754,42.82857,1094,1189,0
3336-313_reproject,-5197238.132401376,-5196639.567649383,-2721064.46499227,-2721716.150312372,-1.1871026,21.306252,1094,1191,0
3336-144_reproject,-5196658.315507615,-5196098.024840195,-2719797.8063100562,-2720449.0141336755,-2.004375,13.745122,1024,1190,0
3336-353_reproject,-5196078.514794746,-5195479.9002484605,-2722331.237460219,-2722982.976993687,-1.6694682,15.049,1094,1191,0
3336-222_reproject,-5192019.807153863,-5191421.358291805,-2717901.2838287395,-2718549.010273218,-0.6890244,20.6177,1094,1184,0
3336-333_reproject,-5194918.880108045,-5194320.311898963,-2721065.0141762993,-2721716.15562241,-1.5649524,16.17857,1094,1190,0
3336-154_reproject,-5195442.115402565,-5194900.39486807,-2719799.013281437,-2720449.1874719784,-0.42404053,9.957555,990,1188,0
3336-111_reproject,-5197238.122971298,-5196639.676479391,-2717897.997741475,-2718549.554306314,-0.56458384,33.9201,1094,1191,0
3336-324_reproject,-5195498.6920464225,-5194900.123636528,-2721064.467015882,-2721716.1563185123,-1.7667068,14.142256,1094,1191,0
3336-153_reproject,-5196061.55647264,-5195513.41810663,-2719798.1478061243,-2720393.9265695782,-3.5865815,15.715066,1002,1089,0
3336-114_reproject,-5196658.3135531945,-5196059.842199138,-2718531.239753844,-2719182.823387263,-1.8244605,15.28466,1094,1191,0
3336-261_reproject,-5191436.685114012,-5191099.951063827,-2719164.8092636005,-2719522.349645342,-0.70155317,13.100376,616,654,0
3336-223_reproject,-5192599.6136559695,-5192001.135264655,-2718531.7814285364,-2719182.2776123257,-1.8635248,13.242653,1094,1189,0
3336-351_reproject,-5195878.441697892,-5195479.874620026,-2721700.20597578,-2722349.316595027,-1.2068824,14.91635,728,1185,0
3336-151_reproject,-5196078.397917332,-5195479.926227812,-2719164.9377313834,-2719807.2133871997,-1.8039453,14.412084,1094,1174,0
